sample_id,gaussianRegression_CenyML,gaussianKernelMachineClassification_CenyML,linearKernelMachineClassification_CenyML,logisticKernelMachineClassification_CenyML,polynomialKernelMachineClassification_CenyML,linearLogisticClassification_CenyML,logisticRegression_CenyML,multipleLinearRegression_CenyML,multiplePolynomialRegression_CenyML,polynomialRegression_CenyML,simpleLinearRegression_CenyML,linearRegressionSingleNeuron_CenyML,simpleLinearMachineClassification_CenyML
11.359659,0.105,0.758947,0.054947,0.645,0.138,0.615947,0.252881,0.053881,0.040881,0.533947,0.129881,241.886296,0.053947
19.640341,0.105,0.759119,0.055186,0.645,0.138,0.616119,0.253053,0.054053,0.041053,0.534119,0.130053,241.94417,0.054119
